TSP,SO2,SO4,NO2,date,YY,MM
45.774193548387096,1.8554838709677413,6.33225806451613,0.0,1987-03-01,87,3
40.56666666666667,2.4755555555555553,3.8633333333333337,0.0,1987-04-01,87,4
76.65217391304348,0.8244999999999999,3.3347826086956522,0.0,1987-05-01,87,5
56.36666666666667,3.290625,4.670000000000001,0.0,1987-06-01,87,6
58.41935483870968,0.9866666666666667,2.3709677419354835,0.0,1987-07-01,87,7
41.523809523809526,0.6530333333333332,4.431818181818183,0.0,1987-08-01,87,8
50.9,0.04214285714285715,3.17,0.0,1987-09-01,87,9
42.107142857142854,1.1780000000000002,3.3032258064516125,0.0,1987-10-01,87,10
31.142857142857142,6.901481481481481,6.666666666666667,0.0,1987-11-01,87,11
30.612903225806452,14.099999999999998,4.929032258064517,0.0,1988-12-01,88,12
56.55172413793103,7.066428571428571,11.39655172413793,0.0,1988-01-01,88,1
67.25,11.416551724137928,12.03793103448276,0.0,1988-02-01,88,2
52.064516129032256,5.394193548387095,9.238709677419358,0.0,1988-03-01,88,3
45.86666666666667,1.8483333333333332,4.470000000000001,0.0,1988-04-01,88,4
72.3,1.130344827586207,3.588,0.0,1988-05-01,88,5
79.33333333333333,1.0744827586206898,5.34074074074074,0.0,1988-06-01,88,6
53.41379310344828,0.44642857142857134,4.816666666666667,0.0,1988-07-01,88,7
47.16129032258065,0.3235483870967742,5.507692307692308,0.0,1988-08-01,88,8
34.46666666666667,1.6130000000000002,5.033333333333332,0.0,1988-09-01,88,9
27.761904761904763,0.8666666666666667,4.66923076923077,0.0,1988-10-01,88,10
43.13333333333333,8.861481481481482,4.596,0.0,1988-11-01,88,11
22.387096774193548,5.175483870967741,2.9769230769230766,0.0,1989-12-01,89,12
19.35483870967742,6.671612903225808,3.5225806451612898,0.0,1989-01-01,89,1
37.392857142857146,4.320000000000001,5.321739130434783,0.0,1989-02-01,89,2
44.93103448275862,3.8858064516129036,6.900000000000001,0.0,1989-03-01,89,3
71.43333333333334,5.345333333333333,7.428,0.0,1989-04-01,89,4
