date,TSP,SO2,SO4,NO2,YY,MM,TSP_resid,SO2_resid,SO4_resid,NO2_resid
1989-07-01,51.064516129032256,0.40435483870967753,3.061538461538461,0.0,89,7,-0.07418152188991733,-0.3196493014534901,-0.015704086277416707,0.0
1989-08-01,36.25806451612903,0.3470967741935484,4.415384615384616,0.0,89,8,-0.13684337114217104,-0.0032853995230989197,-0.2399956821410818,0.0
1989-09-01,35.407407407407405,0.6823333333333335,4.1130434782608685,0.0,89,9,-0.17463536335590124,0.1563435038237957,0.07978576667928317,0.0
1989-10-01,18.608695652173914,0.71,4.030769230769231,0.0,89,10,-0.10694476753321824,0.9895392359745867,0.24714635957228492,0.0
1989-11-01,46.285714285714285,2.7129999999999996,5.564,0.0,89,11,-0.5010366864081504,-0.4591886427604043,-0.02343456956715073,0.0
1990-12-01,24.095238095238095,3.734193548387097,4.507692307692308,0.0,90,12,0.663834414225108,-0.4106781111476736,0.2814124557752411,0.0
1990-01-01,23.25,4.2470967741935475,4.192307692307692,0.0,90,1,-0.13872747359178872,-0.12527684553641705,-0.3513704683588883,0.0
1990-02-01,29.035714285714285,3.7423809523809526,5.360869565217391,0.0,90,2,-0.39212177172755514,-0.3879852895510367,-0.6631661128439055,0.0
1990-03-01,21.29032258064516,3.8858064516129036,3.4807692307692317,0.0,90,3,-0.057812893251945496,0.06885591860478324,-0.19718699304603526,0.0
1990-04-01,45.766666666666666,1.1730769230769231,6.120833333333334,0.0,90,4,-0.6762471158966847,0.6312897642639382,-0.6434965101177501,0.0
1990-05-01,57.935483870967744,0.8700000000000001,1.7423076923076926,0.0,90,5,0.1335267126547719,-0.7359301652055211,0.34419892046117595,0.0
1990-06-01,25.966666666666665,0.6643333333333332,1.432,0.0,90,6,-0.13235865921018597,0.1927888810419406,-1.1553811166636212,0.0
1990-07-01,42.793103448275865,0.7307407407407406,2.226923076923077,0.0,90,7,-0.6495773133642517,-0.3582722501092632,-0.6289387591292068,0.0
1990-08-01,23.612903225806452,0.573,2.2307692307692304,0.0,90,8,0.1299390609457749,0.9067426614926821,0.5415692699074008,0.0
1990-09-01,18.529411764705884,0.8853333333333333,2.627999999999999,0.0,90,9,-0.3092637042158586,0.5793362194967158,-0.23334455598213022,0.0
1990-10-01,33.32142857142857,1.869354838709677,4.25,0.0,90,10,-0.40844653155267263,0.9410709194276846,0.21708934004440505,0.0
1990-11-01,17.6,2.431666666666666,2.6919999999999997,0.0,90,11,0.5880944735921791,0.6497096398912264,0.4222684295719621,0.0
1991-12-01,16.93548387096774,3.475806451612903,4.11923076923077,0.0,91,12,-0.38261714139657865,-0.6755985561965121,-0.4704434476861069,0.0
1991-01-01,16.419354838709676,3.6109677419354838,4.73076923076923,0.0,91,1,-0.00017218377784145034,-0.08879081430959923,0.0048107189521471305,0.0
1991-02-01,41.17857142857143,11.73076923076923,13.38695652173913,0.0,91,2,-0.3345334364293544,-0.3844794624792811,-0.23365388411324783,0.0
1991-03-01,35.310344827586206,1.5503333333333333,10.565384615384614,0.0,91,3,0.6354369135778168,1.2857819008106695,0.7913217879552428,0.0
1991-04-01,45.766666666666666,1.1730769230769231,6.120833333333334,0.0,91,4,0.07652313282913203,-0.8307064074862127,0.28062285435132495,0.0
1991-05-01,62.63333333333333,0.6770967741935485,3.826923076923076,0.0,91,5,0.13132327141571176,-0.2257452184800549,-0.3336873682888466,0.0
1991-06-01,46.07142857142857,0.6821428571428573,3.534782608695652,0.0,91,6,0.08489354119269699,-0.1057342014685606,-0.105752176516001,0.0
